PersonX finds and turns on the lights  HinderedBy  [GEN]	personx can't find the light switch
PersonX stops someone from leaving  xAttr  [GEN]	authoritative
PersonX is bent on making money  xIntent  [GEN]	to make money
PersonX explains a feeling  xEffect  [GEN]	makes personx happy
PersonX joins her employer  xReact  [GEN]	excited
PersonX ends her engagement  xEffect  [GEN]	is single
PersonX cancels the festival  xReact  [GEN]	disappointed
PersonX loves flowers  xReact  [GEN]	happy
PersonX demonstrates a new golf swing  xNeed  [GEN]	to practice the swing
PersonX blocks his foot  xEffect  [GEN]	gets a blister
PersonX is careless in sending a letter  xReact  [GEN]	ashamed
PersonX offers a peace-making gift  HinderedBy  [GEN]	personx can't afford a gift
PersonX receives a job promotion  xNeed  [GEN]	to apply
PersonX blocks PersonY's Facebook account  xIntent  [GEN]	to keep persony from having access to his family
PersonX discusses an issue with PersonY  HinderedBy  [GEN]	personx is afraid to talk about his feelings
PersonX keeps in contact with PersonY  xEffect  [GEN]	is glad to see persony
PersonX makes a play  xReact  [GEN]	confident
PersonX takes up painting  xReact  [GEN]	inspired
PersonX loses the argument  xReact  [GEN]	frustrated
PersonX flosses teeth  xEffect  [GEN]	gets clean teeth
PersonX touches up the living room  xReact  [GEN]	pleased
PersonX gets in the driver's seat  xReact  [GEN]	relieved
PersonX follows PersonY’s every move  xIntent  [GEN]	to help persony
PersonX contemplates human nature  HinderedBy  [GEN]	personx is too busy to think about human nature
PersonX is saving his money  xIntent  [GEN]	to have enough money to buy a car
PersonX wants to change his way of life  xReact  [GEN]	determined
PersonX kept her promise  xReact  [GEN]	proud
PersonX is a conscientious student  xIntent  [GEN]	to be an a student
PersonX wishes for strength  xReact  [GEN]	powerful
PersonX and PersonY are punished  xAttr  [GEN]	cruel
PersonX is back in touch with PersonY  xEffect  [GEN]	and persony are happy
PersonX seeks an audience  xIntent  [GEN]	to be accepted
PersonX is one of PersonY's children  xAttr  [GEN]	protective
PersonX gets a job in town  xAttr  [GEN]	responsible
PersonX finds it rather hot  xWant  [GEN]	to take a shower
PersonX does not speak  xIntent  [GEN]	to be silent
PersonX learns to control her emotions  xEffect  [GEN]	becomes calmer
PersonX never wants to hear that joke again  xEffect  [GEN]	doesn t make it again
PersonX swims in the rain  xIntent  [GEN]	to feel refreshed
PersonX understands why PersonY did what she did  xAttr  [GEN]	helpful
PersonX repairs the window  xNeed  [GEN]	to be in the yard
PersonX loses a project  xWant  [GEN]	to find the client
PersonX believes in the freedom of choice  xReact  [GEN]	motivated
PersonX has fun with PersonY's children  xReact  [GEN]	appreciated
PersonX remembers a time PersonY got on her nerves  xReact  [GEN]	irritated
PersonX tries to steal money  xWant  [GEN]	to be rich
PersonX wanted to be a firefighter  xEffect  [GEN]	became a firefighter
PersonX jumps in with both feet  xWant  [GEN]	to jump out of the window
PersonX earns a dollar an hour  HinderedBy  [GEN]	personx can't find any money
PersonX lives by a schedule  xIntent  [GEN]	to be efficient
PersonX gets a good mark on a test  HinderedBy  [GEN]	personx is failing the test
PersonX just wants to share the news  xAttr  [GEN]	honest
PersonX hates to sleep  xIntent  [GEN]	to be productive
PersonX meets a stranger on the street  xAttr  [GEN]	friendly
PersonX gets in touch with an old friend  xReact  [GEN]	excited
PersonX lives in a special place  xIntent  [GEN]	to be special
PersonX serves as mediator  xReact  [GEN]	responsible
PersonX meets the wrong person  xEffect  [GEN]	is upset
PersonX goes back to baking  xWant  [GEN]	to have a baking job
PersonX likes their photo  xIntent  [GEN]	to have a good photo
PersonX considers a new perspective  HinderedBy  [GEN]	personx can't afford to change his mind
PersonX tells someone  xReact  [GEN]	angry
PersonX learns to walk  xReact  [GEN]	happy
PersonX puts on headphones  xWant  [GEN]	to hear the radio
PersonX tosses PersonY up in the air  xIntent  [GEN]	to make persony laugh
PersonX shares a photo with PersonY  xIntent  [GEN]	to talk about persony
PersonX sells vegetables  HinderedBy  [GEN]	personx is sick
PersonX is among the strongest  xNeed  [GEN]	to be at the top of the food chain
PersonX does not want to sleep  xEffect  [GEN]	sleeps better
PersonX refuses to volunteer to help at the hospital  xIntent  [GEN]	to be independent
PersonX makes everyone walk through PersonY's home  xIntent  [GEN]	to show persony that he is a person.
PersonX hits PersonY in the stomach  xAttr  [GEN]	mean
PersonX leads PersonY to God  xAttr  [GEN]	religious
PersonX and PersonY chat about the old days  xEffect  [GEN]	and persony become friends
PersonX studies hard, unlike PersonY  xIntent  [GEN]	to succeed
PersonX meets a friend for dinner  xWant  [GEN]	to go out with that friend
PersonX follows PersonY in the park  xIntent  [GEN]	to see persony
PersonX begins to learn to play the violin  xReact  [GEN]	accomplished
PersonX wraps up PersonY  xAttr  [GEN]	caring
PersonX wants to attend the meeting  xNeed  [GEN]	to be interested in the position
PersonX demands the truth  HinderedBy  [GEN]	personx is afraid to ask the question
PersonX has been elected as a member of the Senate  xReact  [GEN]	honored
PersonX argues with the police  xAttr  [GEN]	rebellious
PersonX performs at the theatre  HinderedBy  [GEN]	personx is too nervous to sing
PersonX sees PersonY in black clothes  HinderedBy  [GEN]	personx can't see
PersonX whips up a mob  xReact  [GEN]	powerful
PersonX has a strong, loyal dog  xAttr  [GEN]	a good dog owner
PersonX makes a quick trip  xIntent  [GEN]	to be on time
PersonX finds someone to blame  xAttr  [GEN]	a bully
PersonX is eager to start right away  xReact  [GEN]	eager
PersonX changes language  xIntent  [GEN]	to be a better speaker
PersonX mentions the incident  xReact  [GEN]	guilty
PersonX proves his love  HinderedBy  [GEN]	personx can't find the paper to write the letter
PersonX works in the area  xIntent  [GEN]	to travel
PersonX commits to a cause  xAttr  [GEN]	compassionate
PersonX wants something  xEffect  [GEN]	gets something
PersonX buys a new camera  xEffect  [GEN]	takes photographs
PersonX writes a newsletter  xAttr  [GEN]	responsible
PersonX is fashionable  HinderedBy  [GEN]	personx is ugly
PersonX succeeds in stopping smoking  xAttr  [GEN]	a good leader
"PersonX is voted ""Most Likely to Succeed""  xEffect  [GEN]"	wins the election
PersonX tries to be strong  HinderedBy  [GEN]	personx is weak
PersonX sways PersonY  xReact  [GEN]	sexy
PersonX keeps on trying  HinderedBy  [GEN]	personx is lazy
PersonX heads to a restaurant  xIntent  [GEN]	to eat out
PersonX is elected to parliament  xReact  [GEN]	confident
PersonX helps PersonY realize  xReact  [GEN]	pleased
PersonX arrives early  xIntent  [GEN]	to be ready for a new task
PersonX says something optimistic  HinderedBy  [GEN]	personx is depressed
PersonX gets kicked out of the bathroom  xReact  [GEN]	upset
PersonX laughs happily  xEffect  [GEN]	is happy
PersonX is on the verge of giving up  xAttr  [GEN]	insecure
PersonX moves into a van  xAttr  [GEN]	adventurous
PersonX makes noise with music  xEffect  [GEN]	makes a mess
PersonX folds a sheet of paper  xIntent  [GEN]	to be efficient
PersonX starts to read the paper  xReact  [GEN]	motivated
PersonX looses his reputation  xEffect  [GEN]	becomes a celebrity
PersonX exchanges the dress  xEffect  [GEN]	is pleased with the dress
PersonX gets lost in PersonY’s words  xWant  [GEN]	to ask persony questions
PersonX tries to entice PersonY  xAttr  [GEN]	seductive
PersonX makes a plan to be friendly  xAttr  [GEN]	nice
PersonX mows the lawn  xReact  [GEN]	excited
PersonX made a radical move  HinderedBy  [GEN]	personx is too afraid to say anything
PersonX takes care of people’s needs  xAttr  [GEN]	a team player
PersonX confirms what was seen  xIntent  [GEN]	to know what is going on
PersonX is a dedicated student  HinderedBy  [GEN]	personx is lazy
PersonX tries to find out who stole the money  xWant  [GEN]	to tell the police
PersonX wants to be accepted  xIntent  [GEN]	to be noticed
PersonX gets in the way of the police  xAttr  [GEN]	a criminal
PersonX gains a competitive edge  xAttr  [GEN]	talented
PersonX attempts to pacify  xIntent  [GEN]	to be helpful
PersonX is invited by PersonY to visit  xEffect  [GEN]	visits persony s family
PersonX finds the wrong door  xReact  [GEN]	annoyed
PersonX takes an advanced course  xReact  [GEN]	accomplished
PersonX follows his own instincts  xIntent  [GEN]	to be prepared for a new task
PersonX plans to seduce PersonY  xEffect  [GEN]	seduces persony
PersonX speaks too quickly  xAttr  [GEN]	scatterbrained
PersonX begins to understand herself  HinderedBy  [GEN]	personx is not able to tell herself the truth
PersonX carries on a dialog  xWant  [GEN]	to talk more
PersonX gets the kiss  xIntent  [GEN]	to kiss ali
PersonX has to save PersonY  xAttr  [GEN]	brave
PersonX falls into a routine  xReact  [GEN]	calm
PersonX has his first child  xWant  [GEN]	to have a family
PersonX goes on a train trip  xReact  [GEN]	happy
PersonX presents the new candidate  xIntent  [GEN]	to show the candidate the opportunity
PersonX gives up and sleeps  xEffect  [GEN]	sleeps well
PersonX speaks at a club  xAttr  [GEN]	a leader
PersonX buys a cup of tea  xAttr  [GEN]	thoughtful
PersonX cancels a trip to Paris  xAttr  [GEN]	selfish
PersonX's car is out of gas  xReact  [GEN]	frustrated
PersonX sets up his home PC  xIntent  [GEN]	to be independent
PersonX learns a new thing  xEffect  [GEN]	is excited
PersonX looks cool  xWant  [GEN]	to look cool
PersonX asks PersonY to build a house  xAttr  [GEN]	curious
PersonX and PersonY are involved in a surprise battle  xWant  [GEN]	to win
PersonX attends prayer meeting  xEffect  [GEN]	feels good about himself
PersonX asks if he can have a cup of coffee  xReact  [GEN]	eager
PersonX goes sledding  xIntent  [GEN]	to be active
PersonX recognizes PersonY as a thief  HinderedBy  [GEN]	personx is not looking at persony
PersonX proclaims PersonY guilty  xEffect  [GEN]	is surprised to see persony guilty
PersonX joins the mob  xAttr  [GEN]	rebellious
PersonX has a really smart idea  xReact  [GEN]	creative
PersonX slips out of the house  HinderedBy  [GEN]	personx is afraid of getting in trouble
PersonX relies on PersonY for advice  xIntent  [GEN]	to learn from persony
PersonX starts a new political party  xReact  [GEN]	creative
PersonX realizes she is attracted to PersonY  xWant  [GEN]	to date persony
PersonX keeps the goal in mind  xNeed  [GEN]	to be motivated
PersonX takes advantage of PersonY's suggestion  HinderedBy  [GEN]	personx doesn't have the money to buy the gift
PersonX is a bad person  xReact  [GEN]	bad
PersonX ponders the important question  xReact  [GEN]	curious
PersonX asks for the pencils  xIntent  [GEN]	to take notes
PersonX talks about it  xIntent  [GEN]	to know
PersonX frowns a lot  xReact  [GEN]	annoyed
PersonX claims PersonY is guilty  xNeed  [GEN]	to be suspicious of persony
PersonX tries to keep her secret  HinderedBy  [GEN]	personx can't keep a secret
PersonX continues to move  xAttr  [GEN]	strong
PersonX helps to deliver the package  xReact  [GEN]	honored
PersonX wants PersonY to come in for a drink  xIntent  [GEN]	to make persony happy
PersonX becomes educated  xEffect  [GEN]	is pleased with his new knowledge
PersonX stops to buy tacos  xWant  [GEN]	to eat tacos
PersonX will do it  xAttr  [GEN]	strong
PersonX promises PersonY not to hurt him  xIntent  [GEN]	to keep persony safe
PersonX teaches kids to swim  xNeed  [GEN]	to be interested in teaching
PersonX buys expensive clothes  xEffect  [GEN]	is happy
PersonX comes back to help PersonY  xReact  [GEN]	proud
PersonX drives over the river  xIntent  [GEN]	to get out of the city
PersonX delivers PersonY's message  xAttr  [GEN]	reliable
PersonX mails letter  HinderedBy  [GEN]	personx is in a coma
PersonX wants to control the world  HinderedBy  [GEN]	personx can't keep up
PersonX consigns PersonY to Hell  xNeed  [GEN]	to be angry at persony
PersonX can't go on like this  xAttr  [GEN]	irresponsible
PersonX changes a password  xReact  [GEN]	relaxed
PersonX manages to agree  HinderedBy  [GEN]	personx can't think of anything to say
PersonX sticks to the contract  HinderedBy  [GEN]	personx is not in a position to apply
PersonX suffers from stomachache  xEffect  [GEN]	is hospitalized
PersonX believes something about PersonY  xIntent  [GEN]	to be close to persony
PersonX reveals the baby's name  HinderedBy  [GEN]	personx can't remember the name
PersonX starts to read the book  xReact  [GEN]	excited
PersonX follows the script  xIntent  [GEN]	to follow the script
PersonX is not wanted  xAttr  [GEN]	worthless
PersonX's father praises PersonX  xWant  [GEN]	to be like his father
PersonX remains in place  xReact  [GEN]	comfortable
PersonX is building a house  xAttr  [GEN]	creative
PersonX fails in winning PersonY's heart  xNeed  [GEN]	to try to convince persony to be with her
PersonX makes a movie about it  xEffect  [GEN]	is a good actor
PersonX leaves behind the past  xReact  [GEN]	free
PersonX closes a window  xIntent  [GEN]	to be prepared for a storm
PersonX sits at the computer  xIntent  [GEN]	to work
PersonX asks to move in  xIntent  [GEN]	to live with his parents
PersonX posts a video online  xNeed  [GEN]	to be online
PersonX confesses his love for PersonY  HinderedBy  [GEN]	personx is afraid to tell persony he loves him
PersonX maintains the friendship  xEffect  [GEN]	is liked by his friends
PersonX behaves like a buddy  xWant  [GEN]	to be a good friend
PersonX casts out  HinderedBy  [GEN]	personx is afraid to cast out
PersonX got there before PersonY  xEffect  [GEN]	won the game
PersonX and PersonY start over  xWant  [GEN]	to be friends with persony
PersonX sings in the shower  xAttr  [GEN]	spontaneous
PersonX will save the world  xIntent  [GEN]	to help people
PersonX returns to the country after four years  HinderedBy  [GEN]	personx can't find the keys to the house
PersonX and PersonY pack  xIntent  [GEN]	to travel
PersonX fights to be free  xNeed  [GEN]	to have a reason to fight
PersonX bought a house  xIntent  [GEN]	to be independent
PersonX sets up a booth  HinderedBy  [GEN]	personx can't find the right tools
PersonX survives in the environment  xReact  [GEN]	strong
PersonX gets everyone into trouble  xIntent  [GEN]	to make the world a mess
PersonX discovers an important clue  HinderedBy  [GEN]	personx can't find the clue
PersonX wants to get through the day  xIntent  [GEN]	to be productive
PersonX teaches personY not to steal  xReact  [GEN]	relieved
PersonX gives a telephone message to Mary  HinderedBy  [GEN]	personx is too embarrassed to talk to mary
PersonX becomes a person who attacks others  xNeed  [GEN]	to be angry
PersonX keeps the cat  xAttr  [GEN]	a good pet owner
PersonX learns to talk  xReact  [GEN]	accepted
PersonX reads the last paper  HinderedBy  [GEN]	personx is too tired to read the last paper
PersonX still gets the job  xWant  [GEN]	to stay the job
PersonX is bored in the meeting  xReact  [GEN]	bored
PersonX becomes the king  xReact  [GEN]	excited
PersonX is trying to decide on dinner  xWant  [GEN]	to cook
PersonX falls off a ledge  xWant  [GEN]	to be careful
PersonX joins Facebook  xEffect  [GEN]	gets popular
PersonX wants to keep her baby  xAttr  [GEN]	devoted
PersonX lets go of PersonY  xEffect  [GEN]	is pleased with himself
PersonX acts on his insight  xReact  [GEN]	pleased
PersonX will be right with you  xIntent  [GEN]	to be helpful
PersonX still gets the job  xReact  [GEN]	confident
PersonX dons safety goggles  xNeed  [GEN]	to be wearing goggles
PersonX wishes he hadn't gone to the beach  xReact  [GEN]	sad
PersonX recognizes something  HinderedBy  [GEN]	personx can't see anything
PersonX puts a book on the shelf  HinderedBy  [GEN]	personx can't find the book
PersonX changes into clothes  xEffect  [GEN]	is dressed quickly
PersonX acts like a horse’s ass  xAttr  [GEN]	a jerk
PersonX buys a cheeseburger  xIntent  [GEN]	to eat a sandwich
PersonX receives a surprise  xEffect  [GEN]	is surprised
